Photons shot: 10000
Input file: ../src/DiamondEulitzBrilliant.obj
Number of bounces: 20
Number of shadow samples: 0
Face_Number Face_Material Normal Area Internal_Bounce Reflected_Rays Rays_Entering_Face Rays_Leaving_Face
50: diamond {0.392742,-0.707296,-0.587781} 0.142899 5 0 0 0
51: diamond {0.587781,-0.707296,-0.392742} 0.142899 6 0 0 1
52: diamond {-0.137912,-0.707296,-0.693335} 0.142899 2 0 0 2
53: diamond {0.137912,-0.707296,-0.693335} 0.142899 4 0 0 1
54: diamond {-0.587781,-0.707296,-0.392742} 0.142899 3 0 0 1
55: diamond {-0.392742,-0.707296,-0.587781} 0.142899 4 0 0 0
56: diamond {-0.693335,-0.707296,0.137912} 0.142899 8 0 0 0
57: diamond {-0.693335,-0.707296,-0.137912} 0.142899 7 0 0 0
58: diamond {-0.392743,-0.707296,0.58778} 0.142899 10 0 0 0
59: diamond {-0.587781,-0.707296,0.392742} 0.142899 4 0 0 0
60: diamond {0.137914,-0.707295,0.693335} 0.142899 2 0 0 0
61: diamond {-0.137912,-0.707296,0.693335} 0.142899 4 0 0 0
62: diamond {0.587781,-0.707296,0.392742} 0.142899 7 0 0 0
63: diamond {0.392742,-0.707296,0.587781} 0.142899 4 0 0 1
64: diamond {0.980786,0,0.195089} 0.00585272 0 0 0 0
65: diamond {0.831469,0,0.555572} 0.00585273 0 0 0 0
66: diamond {0.555568,0,0.831471} 0.00585271 0 0 0 0
67: diamond {0.195094,0,0.980785} 0.00585272 0 0 0 0
68: diamond {-0.195089,0,0.980786} 0.00585272 0 0 0 0
69: diamond {-0.555574,0,0.831467} 0.0058527 1 0 0 0
70: diamond {-0.831471,0,0.555568} 0.00585271 0 0 0 0
71: diamond {-0.980785,0,0.19509} 0.00585269 1 0 0 0
72: diamond {-0.980786,0,-0.195089} 0.00585272 0 0 0 0
73: diamond {-0.831469,0,-0.555572} 0.00585273 0 0 0 0
74: diamond {-0.555568,0,-0.831471} 0.00585271 0 0 0 0
75: diamond {-0.19509,0,-0.980785} 0.00585269 0 0 0 0
76: diamond {0.195089,0,-0.980786} 0.00585272 0 0 0 0
77: diamond {0.555572,0,-0.831469} 0.00585273 0 0 0 0
78: diamond {0.831471,0,-0.555568} 0.00585271 0 0 0 0
79: diamond {0.980785,0,-0.19509} 0.00585269 2 0 0 0
80: diamond {0.980785,0,0.19509} 0.00585269 0 0 0 0
81: diamond {1.22437e-06,-0.736716,0.676202} 0.121526 13 0 0 0
82: diamond {0.478148,-0.736716,0.478146} 0.121526 19 0 0 1
83: diamond {-1.12363e-06,-0.736717,0.676202} 0.121526 19 0 0 1
84: diamond {0.478146,-0.736716,0.478148} 0.121526 11 0 0 0
85: diamond {0.676202,-0.736717,-1.12363e-06} 0.121526 10 0 0 0
86: diamond {0.676202,-0.736716,1.22437e-06} 0.121526 22 0 0 1
87: diamond {0.478146,-0.736716,-0.478148} 0.121526 12 0 0 0
88: diamond {0.478148,-0.736716,-0.478146} 0.121526 4 0 0 0
89: diamond {-1.22437e-06,-0.736716,-0.676202} 0.121526 17 0 0 0
90: diamond {1.22437e-06,-0.736716,-0.676202} 0.121526 11 0 0 0
91: diamond {-0.478148,-0.736716,-0.478146} 0.121526 8 0 0 1
92: diamond {-0.478146,-0.736716,-0.478148} 0.121526 15 0 0 0
93: diamond {-0.676202,-0.736716,1.22437e-06} 0.121526 9 0 0 2
94: diamond {-0.676202,-0.736716,-1.22437e-06} 0.121526 18 0 0 0
95: diamond {-0.478146,-0.736716,0.478148} 0.121526 6 0 0 0
96: diamond {-0.478148,-0.736716,0.478146} 0.121526 9 0 0 1
97: diamond {0,-1,0} 0.000739838 0 0 0 0
98: diamond {0,-1,0} 0.000739838 0 0 0 0
99: diamond {0,-1,0} 0.000739838 0 0 0 0
100: diamond {0,-1,0} 0.000739863 0 0 0 0
101: diamond {0,-1,0} 0.000739863 0 0 0 0
102: diamond {0,-1,0} 0.000739838 0 0 0 0
103: diamond {0,-1,0} 0.000739863 0 0 0 0
104: diamond {0,-1,0} 0.000739863 0 0 0 0
105: diamond {0,-1,-0} 0.000956563 0 0 0 0
106: diamond {0,-1,0} 0.000956563 0 0 0 0
107: diamond {0,-1,-0} 0.000523149 0 0 0 0
108: diamond {-0,-1,-0} 0.000523149 0 0 0 0
109: diamond {0,-1,0} 0.000523149 0 0 0 0
110: diamond {0,-1,0} 0.000956563 0 0 0 0
111: diamond {0,-1,0} 0.000956563 1 0 0 0
112: diamond {0,-1,0} 0.000523149 0 0 0 0
113: diamond {0,1,-0} 0.0564316 0 2 0 0
114: diamond {0,1,-0} 0.0564315 1 0 2 2
115: diamond {0,1,-0} 0.0564314 1 0 3 4
116: diamond {0,1,-0} 0.0564316 1 0 0 3
117: diamond {0,1,0} 0.0564313 1 1 1 2
118: diamond {0,1,0} 0.0564315 1 0 0 4
119: diamond {0,1,0} 0.0564316 1 1 2 2
120: diamond {0,1,0} 0.0399032 0 0 5 0
121: diamond {0,1,0} 0.0729599 1 2 5 1
122: diamond {0,1,0} 0.0729599 4 1 1 3
123: diamond {0,1,0} 0.0399033 1 0 1 1
124: diamond {-0,1,0} 0.0399032 2 0 1 4
125: diamond {0,1,-0} 0.0729599 2 1 3 4
126: diamond {0,1,-0} 0.0729601 3 0 4 2
127: diamond {0,1,0} 0.0399033 2 1 0 2
128: cube {0,1,-0} 100 0 0 2065 0
129: cube {1,0,0} 100 0 0 2746 0
130: cube {-1,-0,0} 100 0 0 1210 0
131: cube {0,0,-1} 100 0 0 1188 0
132: cube {0,0,1} 100 0 0 2742 0
133: light {0,-1,0} 9 0 0 3 0
362 20 100 95
